Model,Dataset,Accuracy,Precision,Recall,F1-Score,Avg_Inference_Time_ms,Samples_Per_Second,Total_Params,Trainable_Params,Model_Size_MB
resnet18,CIFAR10,0.9133,0.9142717955016402,0.9133,0.9132871235906372,22.759052753448486,43.93855978247946,11181642,8398858,42.654579162597656
mobilenet_v2,CIFAR10,0.9004,0.9038140807780682,0.9004,0.9009189105638717,16.534018063545226,60.48136612387248,2236682,2233322,8.532264709472656
